"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2000-Q1",52.4482737336963,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2000-Q2",53.5854378905079,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2000-Q3",54.6576236724985,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2000-Q4",55.7463123156988,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2001-Q1",56.6600409904667,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2001-Q2",57.0427448019762,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2001-Q3",57.5755901150545,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2001-Q4",57.8069901286518,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2002-Q1",58.4892274446994,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2002-Q2",59.1756874337962,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2002-Q3",59.4510081652996,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2002-Q4",60.2427625627752,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2003-Q1",60.9476827168426,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2003-Q2",61.6846865137863,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2003-Q3",62.741492174786,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2003-Q4",63.7897615036419,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2004-Q1",65.7091739013782,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2004-Q2",67.9130563729831,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2004-Q3",70.0766538407221,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2004-Q4",72.7708070591441,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2005-Q1",75.941491331354,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2005-Q2",78.9852932041438,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2005-Q3",85.0334194337792,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2005-Q4",91.9236257402968,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2006-Q1",98.4385298391798,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2006-Q2",102.912953724036,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2006-Q3",104.912765522874,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2006-Q4",105.438780171483,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2007-Q1",105.955566793586,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2007-Q2",105.643817359761,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2007-Q3",105.696055366185,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2007-Q4",105.411617248108,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2008-Q1",104.27954954795,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2008-Q2",102.810628134999,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2008-Q3",99.974971278883,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2008-Q4",93.7358530406724,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2009-Q1",88.0561176696881,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2009-Q2",87.4462484760118,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2009-Q3",88.0663737590435,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2009-Q4",89.2201420674608,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2010-Q1",90.0723908430875,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2010-Q2",90.1080262733241,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2010-Q3",90.884132514467,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2010-Q4",91.6273570988876,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2011-Q1",90.8131560921311,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2011-Q2",90.8636168987035,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2011-Q3",88.2041282290168,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2011-Q4",86.607990002376,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2012-Q1",86.4489875990056,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2012-Q2",85.8415083131753,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2012-Q3",86.7158736139972,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2012-Q4",87.98149794349,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2013-Q1",88.6179156878447,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2013-Q2",89.8969702918415,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2013-Q3",90.6894332989315,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2013-Q4",91.1865816986341,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2014-Q1",91.7245480809191,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2014-Q2",93.2869574891531,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2014-Q3",93.7004852306178,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2014-Q4",95.2829441866468,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2015-Q1",98.1422831041983,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2015-Q2",99.5245482416814,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2015-Q3",100.232562468079,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2015-Q4",102.100606186041,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2016-Q1",103.295124047109,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2016-Q2",103.625573779372,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2016-Q3",105.548625510569,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2016-Q4",106.436723928068,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2017-Q1",106.944751055498,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2017-Q2",109.124098816431,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2017-Q3",110.234622979738,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2017-Q4",111.207620926066,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2018-Q1",113.151356044803,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2018-Q2",114.323522700942,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2018-Q3",115.219537241367,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2018-Q4",115.420729300751,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q1",116.337555870276,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q2",117.565979013413,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q3",117.931733089483,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2019-Q4",118.283907324764,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q1",118.670682027265,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q2",119.33857656092,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q3",125.124403916282,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",130.991572808621,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",135.263098838956,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",137.85766537847,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",139.231550118134,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",139.687065788107,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",140.892859084729,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",141.810508263344,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2000-Q1",73.9742856898401,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2000-Q2",77.7893196023479,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2000-Q3",81.0432816113558,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2000-Q4",85.0910524745095,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2001-Q1",88.1357926694375,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2001-Q2",89.248167828396,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2001-Q3",90.9587471904403,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2001-Q4",88.9393078240242,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2002-Q1",90.8044833453657,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2002-Q2",93.7878161543829,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2002-Q3",96.9986762061302,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2002-Q4",100.62141331352,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2003-Q1",104.162785315779,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2003-Q2",107.967901104504,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2003-Q3",110.21339090465,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2003-Q4",114.223001752503,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2004-Q1",117.505911950062,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2004-Q2",120.331063786321,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2004-Q3",123.319501769332,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2004-Q4",124.144853152202,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2005-Q1",126.34473976146,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2005-Q2",128.924797543418,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2005-Q3",133.186502116056,
