"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","HOUSECOST","REAL","IDX2015","A","2000",69.5319964481841,
"DNK","HOUSECOST","REAL","IDX2015","A","2001",71.9261317568894,
"DNK","HOUSECOST","REAL","IDX2015","A","2002",73.1760622839992,
"DNK","HOUSECOST","REAL","IDX2015","A","2003",75.9041202652802,
"DNK","HOUSECOST","REAL","IDX2015","A","2004",83.2243093866777,
"DNK","HOUSECOST","REAL","IDX2015","A","2005",98.1931515025628,
"DNK","HOUSECOST","REAL","IDX2015","A","2006",119.215100407695,
"DNK","HOUSECOST","REAL","IDX2015","A","2007",120.361060699869,
"DNK","HOUSECOST","REAL","IDX2015","A","2008",110.919704749358,
"DNK","HOUSECOST","REAL","IDX2015","A","2009",96.3819183212429,
"DNK","HOUSECOST","REAL","IDX2015","A","2010",96.7114339538005,
"DNK","HOUSECOST","REAL","IDX2015","A","2011",92.8778759367023,
"DNK","HOUSECOST","REAL","IDX2015","A","2012",88.3158414588969,
"DNK","HOUSECOST","REAL","IDX2015","A","2013",90.9702446343526,
"DNK","HOUSECOST","REAL","IDX2015","A","2014",93.8545083596842,
"DNK","HOUSECOST","REAL","IDX2015","A","2015",100,
"DNK","HOUSECOST","REAL","IDX2015","A","2016",104.603317565269,
"DNK","HOUSECOST","REAL","IDX2015","A","2017",108.135993498175,
"DNK","HOUSECOST","REAL","IDX2015","A","2018",112.519369430819,
"DNK","HOUSECOST","REAL","IDX2015","A","2019",114.459799686287,
"DNK","HOUSECOST","REAL","IDX2015","A","2020",119.863574583699,
"IRL","HOUSECOST","REAL","IDX2015","A","2000",94.4178430114945,
"IRL","HOUSECOST","REAL","IDX2015","A","2001",102.397945933973,
"IRL","HOUSECOST","REAL","IDX2015","A","2002",104.703392503261,
"IRL","HOUSECOST","REAL","IDX2015","A","2003",115.868163285615,
"IRL","HOUSECOST","REAL","IDX2015","A","2004",126.91541445503,
"IRL","HOUSECOST","REAL","IDX2015","A","2005",135.640724704144,
"IRL","HOUSECOST","REAL","IDX2015","A","2006",151.557718382942,
"IRL","HOUSECOST","REAL","IDX2015","A","2007",157.900614391003,
"IRL","HOUSECOST","REAL","IDX2015","A","2008",145.799295472529,
"IRL","HOUSECOST","REAL","IDX2015","A","2009",127.221367436191,
"IRL","HOUSECOST","REAL","IDX2015","A","2010",111.526319580821,
"IRL","HOUSECOST","REAL","IDX2015","A","2011",91.4872791656787,
"IRL","HOUSECOST","REAL","IDX2015","A","2012",78.311967977623,
"IRL","HOUSECOST","REAL","IDX2015","A","2013",78.5143991996662,
"IRL","HOUSECOST","REAL","IDX2015","A","2014",90.5842407589871,
"IRL","HOUSECOST","REAL","IDX2015","A","2015",100,
"IRL","HOUSECOST","REAL","IDX2015","A","2016",106.62120598115,
"IRL","HOUSECOST","REAL","IDX2015","A","2017",116.425566802177,
"IRL","HOUSECOST","REAL","IDX2015","A","2018",126.126836046787,
"IRL","HOUSECOST","REAL","IDX2015","A","2019",126.783722479754,
"IRL","HOUSECOST","REAL","IDX2015","A","2020",126.200942644535,
"ITA","HOUSECOST","REAL","IDX2015","A","2000",93.3841976872901,
"ITA","HOUSECOST","REAL","IDX2015","A","2001",98.5223614384934,
"ITA","HOUSECOST","REAL","IDX2015","A","2002",104.877168830296,
"ITA","HOUSECOST","REAL","IDX2015","A","2003",112.228312162892,
"ITA","HOUSECOST","REAL","IDX2015","A","2004",120.445839919653,
"ITA","HOUSECOST","REAL","IDX2015","A","2005",126.998275026942,
"ITA","HOUSECOST","REAL","IDX2015","A","2006",131.633666329475,
"ITA","HOUSECOST","REAL","IDX2015","A","2007",135.388888315869,
"ITA","HOUSECOST","REAL","IDX2015","A","2008",133.40970180231,
"ITA","HOUSECOST","REAL","IDX2015","A","2009",129.23954380795,
"ITA","HOUSECOST","REAL","IDX2015","A","2010",126.632151975979,
"ITA","HOUSECOST","REAL","IDX2015","A","2011",124.705965393321,
"ITA","HOUSECOST","REAL","IDX2015","A","2012",118.426473306499,
"ITA","HOUSECOST","REAL","IDX2015","A","2013",109.536704045625,
"ITA","HOUSECOST","REAL","IDX2015","A","2014",104.109596053687,
"ITA","HOUSECOST","REAL","IDX2015","A","2015",100,
"ITA","HOUSECOST","REAL","IDX2015","A","2016",100.141864529779,
"ITA","HOUSECOST","REAL","IDX2015","A","2017",98.0190110803652,
"ITA","HOUSECOST","REAL","IDX2015","A","2018",96.5570939775457,
"ITA","HOUSECOST","REAL","IDX2015","A","2019",95.8914467136045,
"ITA","HOUSECOST","REAL","IDX2015","A","2020",97.5935490493694,
